Station Code,Water Quality,Locations,State/ UT Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
2258,GROUND WATER QUALITY OF Assam,GROUND WATER FROM GOALPARA DIST.(GOALPARA COLLEGE ),Assam,23,25,24,NA,NA,NA,6.3,7.9,7.1,435,452,444,0.7,0.8,0.8,0.3,0.7,0.5,NA,NA,NA,0,0,0,1,360,181
2259,GROUND WATER QUALITY OF Assam,GROUND WATER FROM DIPHU (GOVT.COLLEGE),Assam,22,27,25,NA,NA,NA,6.6,7.4,7,1150,1291,1221,1,1.5,1.3,0.1,0.1,0.1,NA,NA,NA,0,0,0,360,910,635
2260,GROUND WATER QUALITY OF Assam,GROUND WATER FROM HAMREN,Assam,20,20,20,NA,NA,NA,6.5,6.5,6.5,121,121,121,1,1,1,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2261,GROUND WATER QUALITY OF Assam,GROUND WATER FROM HAFLONG,Assam,10,28,19,NA,NA,NA,7.1,7.3,7.2,170,179,175,1.6,2,1.8,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1,1
2262,GROUND WATER QUALITY OF Assam,GROUND WATER FROM KARIMGANJ(COLLEGE),Assam,11,11,11,NA,NA,NA,6.8,7.1,7,430,470,450,0.3,0.4,0.4,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,1500,751
2263,GROUND WATER QUALITY OF Assam,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,12,25,18,NA,NA,NA,6.2,8,7.1,320,335,328,1.4,1.7,1.6,0.1,0.1,0.1,NA,NA,NA,0,0,0,1,910,456
2264,GROUND WATER QUALITY OF Assam,GROUND WATER IN PANCHGRAMMARKET NEAR CACHAR PAPER MILL,Assam,12,27,19,NA,NA,NA,6.7,8.2,7.5,850,3940,2395,1.2,6.6,3.9,0.1,0.1,0.1,NA,NA,NA,0,0,0,360,730,545
2054,GROUND WATER QUALITY OF Mizoram,RAMHLUM (NORTHERN PART),Mizoram,18,23,20,NA,NA,NA,5.7,8,6.7,386,464,424,1.2,2.7,1.6,NA,NA,NA,0.1,0.2,0.2,NA,NA,NA,7,15,10
2055,GROUND WATER QUALITY OF Mizoram,MISSION VENGTHLANG (SOUTHERN PART),Mizoram,17,22,20,NA,NA,NA,6.1,6.9,6.5,428,720,594,1.4,2.1,1.7,NA,NA,NA,0.1,0.2,0.2,NA,NA,NA,7,19,13
1920,GROUND WATER QUALITY OF Manipur,KAKCHING (THOUBAL DIST.),Manipur,28,28,28,NA,NA,NA,7,7,7,115,115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
